AutoRecord MainCharacterSystem & CharacterMotorConfig
Date: 2025-10-15 19:49:36
MainCharacterSystemAddr = 0x7241F98C80
CharacterMotorConfigAddr = 0x7241C56630
WindowBytes = 256
Time,Section,Offset,Address,FloatValue,DwordValue
2025-10-15 19:49:43,Motor,0xC,0x7241C5663C,0.0,0
2025-10-15 19:49:43,Motor,0x10,0x7241C56640,2.7882544211009846E29,1885420480
2025-10-15 19:49:43,Motor,0x14,0x7241C56644,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0x18,0x7241C56648,-200.0,-1018691584
2025-10-15 19:49:43,Motor,0x1C,0x7241C5664C,1.401298464324817E-45,1
2025-10-15 19:49:43,Motor,0x20,0x7241C56650,4.0,1082130432
2025-10-15 19:49:43,Motor,0x24,0x7241C56654,110.0,1121714176
2025-10-15 19:49:43,Motor,0x28,0x7241C56658,220.0,1130102784
2025-10-15 19:49:43,Motor,0x2C,0x7241C5665C,179.0,1127415808
2025-10-15 19:49:43,Motor,0x30,0x7241C56660,0.27000001072883606,1049247089
2025-10-15 19:49:43,Motor,0x34,0x7241C56664,0.0,0
2025-10-15 19:49:43,Motor,0x38,0x7241C56668,304650125312.0,1385028896
2025-10-15 19:49:43,Motor,0x3C,0x7241C5666C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0x40,0x7241C56670,1.401298464324817E-45,1
2025-10-15 19:49:43,Motor,0x44,0x7241C56674,1.5,1069547520
2025-10-15 19:49:43,Motor,0x48,0x7241C56678,0.0,0
2025-10-15 19:49:43,Motor,0x4C,0x7241C5667C,20.0,1101004800
2025-10-15 19:49:43,Motor,0x50,0x7241C56680,20.0,1101004800
2025-10-15 19:49:43,Motor,0x54,0x7241C56684,0.15000000596046448,1041865114
2025-10-15 19:49:43,Motor,0x58,0x7241C56688,-90.0,-1028390912
2025-10-15 19:49:43,Motor,0x5C,0x7241C5668C,0.6000000238418579,1058642330
2025-10-15 19:49:43,Motor,0x60,0x7241C56690,0.0,0
2025-10-15 19:49:43,Motor,0x64,0x7241C56694,9.0,1091567616
2025-10-15 19:49:43,Motor,0x68,0x7241C56698,0.33000001311302185,1051260355
2025-10-15 19:49:43,Motor,0x6C,0x7241C5669C,0.6600000262260437,1059648963
2025-10-15 19:49:43,Motor,0x70,0x7241C566A0,0.7200000286102295,1060655596
2025-10-15 19:49:43,Motor,0x74,0x7241C566A4,8.0,1090519040
2025-10-15 19:49:43,Motor,0x78,0x7241C566A8,13.0,1095761920
2025-10-15 19:49:43,Motor,0x7C,0x7241C566AC,5.659999847412109,1085611704
2025-10-15 19:49:43,Motor,0x80,0x7241C566B0,75.0,1117126656
2025-10-15 19:49:43,Motor,0x84,0x7241C566B4,0.0,0
2025-10-15 19:49:43,Motor,0x88,0x7241C566B8,0.0,0
2025-10-15 19:49:43,Motor,0x8C,0x7241C566BC,0.0,0
2025-10-15 19:49:43,Motor,0x90,0x7241C566C0,9.549779633744038E-9,841224288
2025-10-15 19:49:43,Motor,0x94,0x7241C566C4,1.6114932339735396E-43,115
2025-10-15 19:49:43,Motor,0x98,0x7241C566C8,0.0,0
2025-10-15 19:49:43,Motor,0x9C,0x7241C566CC,0.0,0
2025-10-15 19:49:43,Motor,0xA0,0x7241C566D0,5.984557574096495E29,1894889184
2025-10-15 19:49:43,Motor,0xA4,0x7241C566D4,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xA8,0x7241C566D8,47.74334716796875,1111423280
2025-10-15 19:49:43,Motor,0xAC,0x7241C566DC,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xB0,0x7241C566E0,15.6124267578125,1098501248
2025-10-15 19:49:43,Motor,0xB4,0x7241C566E4,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xB8,0x7241C566E8,297956016128.0,1384824608
2025-10-15 19:49:43,Motor,0xBC,0x7241C566EC,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xC0,0x7241C566F0,-37477128710651904.0,-620419776
2025-10-15 19:49:43,Motor,0xC4,0x7241C566F4,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xC8,0x7241C566F8,12211712.0,1262114304
2025-10-15 19:49:43,Motor,0xCC,0x7241C566FC,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xD0,0x7241C56700,83409920.0,1285494656
2025-10-15 19:49:43,Motor,0xD4,0x7241C56704,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xD8,0x7241C56708,297954967552.0,1384824576
2025-10-15 19:49:43,Motor,0xDC,0x7241C5670C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xE0,0x7241C56710,297953918976.0,1384824544
2025-10-15 19:49:43,Motor,0xE4,0x7241C56714,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xE8,0x7241C56718,297938190336.0,1384824064
2025-10-15 19:49:43,Motor,0xEC,0x7241C5671C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xF0,0x7241C56720,297937141760.0,1384824032
2025-10-15 19:49:43,Motor,0xF4,0x7241C56724,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0xF8,0x7241C56728,297936093184.0,1384824000
2025-10-15 19:49:43,Motor,0xFC,0x7241C5672C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Motor,0x100,0x7241C56730,297935044608.0,1384823968
2025-10-15 19:49:46,Main,0x0,0x7241F98C80,7.405283497519122E-9,838758800
2025-10-15 19:49:46,Main,0x4,0x7241F98C84,1.6114932339735396E-43,115
2025-10-15 19:49:46,Main,0x8,0x7241F98C88,0.0,0
2025-10-15 19:49:46,Main,0xC,0x7241F98C8C,0.0,0
2025-10-15 19:49:46,Main,0x10,0x7241F98C90,12366256.0,1262268848
2025-10-15 19:49:46,Main,0x14,0x7241F98C94,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x18,0x7241F98C98,150067216384.0,1376502480
2025-10-15 19:49:46,Main,0x1C,0x7241F98C9C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x20,0x7241F98CA0,150062497792.0,1376502192
2025-10-15 19:49:46,Main,0x24,0x7241F98CA4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x28,0x7241F98CA8,1005.2197265625,1148931600
2025-10-15 19:49:46,Main,0x2C,0x7241F98CAC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x30,0x7241F98CB0,1005.216796875,1148931552
2025-10-15 19:49:46,Main,0x34,0x7241F98CB4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x38,0x7241F98CB8,1005.2138671875,1148931504
2025-10-15 19:49:46,Main,0x3C,0x7241F98CBC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x40,0x7241F98CC0,1005.1962890625,1148931216
2025-10-15 19:49:46,Main,0x44,0x7241F98CC4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x48,0x7241F98CC8,40.3843994140625,1109494176
2025-10-15 19:49:46,Main,0x4C,0x7241F98CCC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x50,0x7241F98CD0,800.396484375,1145575776
2025-10-15 19:49:46,Main,0x54,0x7241F98CD4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x58,0x7241F98CD8,800.390625,1145575680
2025-10-15 19:49:46,Main,0x5C,0x7241F98CDC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0x60,0x7241F98CE0,0.0,0
2025-10-15 19:49:46,Main,0x64,0x7241F98CE4,0.0,0
2025-10-15 19:49:46,Main,0x68,0x7241F98CE8,1.401298464324817E-45,1
2025-10-15 19:49:46,Main,0x6C,0x7241F98CEC,0.0,0
2025-10-15 19:49:46,Main,0x70,0x7241F98CF0,0.0,0
2025-10-15 19:49:46,Main,0x74,0x7241F98CF4,0.0,0
2025-10-15 19:49:46,Main,0x78,0x7241F98CF8,0.0,0
2025-10-15 19:49:46,Main,0x7C,0x7241F98CFC,0.0,0
2025-10-15 19:49:46,Main,0x80,0x7241F98D00,9.3063690087547E-10,813682624
2025-10-15 19:49:46,Main,0x84,0x7241F98D04,1.6114932339735396E-43,115
2025-10-15 19:49:46,Main,0x88,0x7241F98D08,0.0,0
2025-10-15 19:49:46,Main,0x8C,0x7241F98D0C,0.0,0
2025-10-15 19:49:46,Main,0x90,0x7241F98D10,0.0,0
2025-10-15 19:49:46,Main,0x94,0x7241F98D14,0.0,0
2025-10-15 19:49:46,Main,0x98,0x7241F98D18,0.0,0
2025-10-15 19:49:46,Main,0x9C,0x7241F98D1C,0.0,0
2025-10-15 19:49:46,Main,0xA0,0x7241F98D20,12183376.0,1262085968
2025-10-15 19:49:46,Main,0xA4,0x7241F98D24,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0xA8,0x7241F98D28,0.0,0
2025-10-15 19:49:46,Main,0xAC,0x7241F98D2C,0.0,0
2025-10-15 19:49:46,Main,0xB0,0x7241F98D30,0.0,0
2025-10-15 19:49:46,Main,0xB4,0x7241F98D34,0.0,0
2025-10-15 19:49:46,Main,0xB8,0x7241F98D38,12183232.0,1262085824
2025-10-15 19:49:46,Main,0xBC,0x7241F98D3C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0xC0,0x7241F98D40,0.0,0
2025-10-15 19:49:46,Main,0xC4,0x7241F98D44,0.0,0
2025-10-15 19:49:46,Main,0xC8,0x7241F98D48,800.455078125,1145576736
2025-10-15 19:49:46,Main,0xCC,0x7241F98D4C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0xD0,0x7241F98D50,992.837890625,1148728736
2025-10-15 19:49:46,Main,0xD4,0x7241F98D54,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0xD8,0x7241F98D58,0.0,0
2025-10-15 19:49:46,Main,0xDC,0x7241F98D5C,0.0,0
2025-10-15 19:49:46,Main,0xE0,0x7241F98D60,1.401298464324817E-45,1
2025-10-15 19:49:46,Main,0xE4,0x7241F98D64,0.0,0
2025-10-15 19:49:46,Main,0xE8,0x7241F98D68,0.0,0
2025-10-15 19:49:46,Main,0xEC,0x7241F98D6C,0.0,0
2025-10-15 19:49:46,Main,0xF0,0x7241F98D70,992.8349609375,1148728688
2025-10-15 19:49:46,Main,0xF4,0x7241F98D74,1.5974802493302915E-43,114
2025-10-15 19:49:46,Main,0xF8,0x7241F98D78,0.0,0
2025-10-15 19:49:46,Main,0xFC,0x7241F98D7C,0.0,0
2025-10-15 19:49:46,Main,0x100,0x7241F98D80,8.261977768597717E-9,839774352
2025-10-15 19:49:46,Motor,0x0,0x7241C56630,7.3666797106852755E-9,838671872
2025-10-15 19:49:46,Motor,0x4,0x7241C56634,1.6114932339735396E-43,115
2025-10-15 19:49:46,Motor,0x8,0x7241C56638,0.0,0
2025-10-15 19:49:46,Motor,0xC,0x7241C5663C,0.0,0
2025-10-15 19:49:46,Motor,0x10,0x7241C56640,2.7882544211009846E29,1885420480
2025-10-15 19:49:46,Motor,0x14,0x7241C56644,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0x18,0x7241C56648,-200.0,-1018691584
2025-10-15 19:49:46,Motor,0x1C,0x7241C5664C,1.401298464324817E-45,1
2025-10-15 19:49:46,Motor,0x20,0x7241C56650,4.0,1082130432
2025-10-15 19:49:46,Motor,0x24,0x7241C56654,110.0,1121714176
2025-10-15 19:49:46,Motor,0x28,0x7241C56658,220.0,1130102784
2025-10-15 19:49:46,Motor,0x2C,0x7241C5665C,179.0,1127415808
2025-10-15 19:49:46,Motor,0x30,0x7241C56660,0.27000001072883606,1049247089
2025-10-15 19:49:46,Motor,0x34,0x7241C56664,0.0,0
2025-10-15 19:49:46,Motor,0x38,0x7241C56668,304650125312.0,1385028896
2025-10-15 19:49:46,Motor,0x3C,0x7241C5666C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0x40,0x7241C56670,1.401298464324817E-45,1
2025-10-15 19:49:46,Motor,0x44,0x7241C56674,1.5,1069547520
2025-10-15 19:49:46,Motor,0x48,0x7241C56678,0.0,0
2025-10-15 19:49:46,Motor,0x4C,0x7241C5667C,20.0,1101004800
2025-10-15 19:49:46,Motor,0x50,0x7241C56680,20.0,1101004800
2025-10-15 19:49:46,Motor,0x54,0x7241C56684,0.15000000596046448,1041865114
2025-10-15 19:49:46,Motor,0x58,0x7241C56688,-90.0,-1028390912
2025-10-15 19:49:46,Motor,0x5C,0x7241C5668C,0.6000000238418579,1058642330
2025-10-15 19:49:46,Motor,0x60,0x7241C56690,0.0,0
2025-10-15 19:49:46,Motor,0x64,0x7241C56694,9.0,1091567616
2025-10-15 19:49:46,Motor,0x68,0x7241C56698,0.33000001311302185,1051260355
2025-10-15 19:49:46,Motor,0x6C,0x7241C5669C,0.6600000262260437,1059648963
2025-10-15 19:49:46,Motor,0x70,0x7241C566A0,0.7200000286102295,1060655596
2025-10-15 19:49:46,Motor,0x74,0x7241C566A4,8.0,1090519040
2025-10-15 19:49:46,Motor,0x78,0x7241C566A8,13.0,1095761920
2025-10-15 19:49:46,Motor,0x7C,0x7241C566AC,5.659999847412109,1085611704
2025-10-15 19:49:46,Motor,0x80,0x7241C566B0,75.0,1117126656
2025-10-15 19:49:46,Motor,0x84,0x7241C566B4,0.0,0
2025-10-15 19:49:46,Motor,0x88,0x7241C566B8,0.0,0
2025-10-15 19:49:46,Motor,0x8C,0x7241C566BC,0.0,0
2025-10-15 19:49:46,Motor,0x90,0x7241C566C0,9.549779633744038E-9,841224288
2025-10-15 19:49:46,Motor,0x94,0x7241C566C4,1.6114932339735396E-43,115
2025-10-15 19:49:46,Motor,0x98,0x7241C566C8,0.0,0
2025-10-15 19:49:46,Motor,0x9C,0x7241C566CC,0.0,0
2025-10-15 19:49:46,Motor,0xA0,0x7241C566D0,5.984557574096495E29,1894889184
2025-10-15 19:49:46,Motor,0xA4,0x7241C566D4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xA8,0x7241C566D8,47.74334716796875,1111423280
2025-10-15 19:49:46,Motor,0xAC,0x7241C566DC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xB0,0x7241C566E0,15.6124267578125,1098501248
2025-10-15 19:49:46,Motor,0xB4,0x7241C566E4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xB8,0x7241C566E8,297956016128.0,1384824608
2025-10-15 19:49:46,Motor,0xBC,0x7241C566EC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xC0,0x7241C566F0,-37477128710651904.0,-620419776
2025-10-15 19:49:46,Motor,0xC4,0x7241C566F4,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xC8,0x7241C566F8,12211712.0,1262114304
2025-10-15 19:49:46,Motor,0xCC,0x7241C566FC,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xD0,0x7241C56700,83409920.0,1285494656
2025-10-15 19:49:46,Motor,0xD4,0x7241C56704,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xD8,0x7241C56708,297954967552.0,1384824576
2025-10-15 19:49:46,Motor,0xDC,0x7241C5670C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xE0,0x7241C56710,297953918976.0,1384824544
2025-10-15 19:49:46,Motor,0xE4,0x7241C56714,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xE8,0x7241C56718,297938190336.0,1384824064
2025-10-15 19:49:46,Motor,0xEC,0x7241C5671C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xF0,0x7241C56720,297937141760.0,1384824032
2025-10-15 19:49:46,Motor,0xF4,0x7241C56724,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0xF8,0x7241C56728,297936093184.0,1384824000
2025-10-15 19:49:46,Motor,0xFC,0x7241C5672C,1.5974802493302915E-43,114
2025-10-15 19:49:46,Motor,0x100,0x7241C56730,297935044608.0,1384823968
2025-10-15 19:49:50,Main,0x0,0x7241F98C80,7.405283497519122E-9,838758800
2025-10-15 19:49:50,Main,0x4,0x7241F98C84,1.6114932339735396E-43,115
2025-10-15 19:49:50,Main,0x8,0x7241F98C88,0.0,0
2025-10-15 19:49:50,Main,0xC,0x7241F98C8C,0.0,0
2025-10-15 19:49:50,Main,0x10,0x7241F98C90,12366256.0,1262268848
2025-10-15 19:49:50,Main,0x14,0x7241F98C94,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x18,0x7241F98C98,150067216384.0,1376502480
2025-10-15 19:49:50,Main,0x1C,0x7241F98C9C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x20,0x7241F98CA0,150062497792.0,1376502192
2025-10-15 19:49:50,Main,0x24,0x7241F98CA4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x28,0x7241F98CA8,1005.2197265625,1148931600
2025-10-15 19:49:50,Main,0x2C,0x7241F98CAC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x30,0x7241F98CB0,1005.216796875,1148931552
2025-10-15 19:49:50,Main,0x34,0x7241F98CB4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x38,0x7241F98CB8,1005.2138671875,1148931504
2025-10-15 19:49:50,Main,0x3C,0x7241F98CBC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x40,0x7241F98CC0,1005.1962890625,1148931216
2025-10-15 19:49:50,Main,0x44,0x7241F98CC4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x48,0x7241F98CC8,40.3843994140625,1109494176
2025-10-15 19:49:50,Main,0x4C,0x7241F98CCC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x50,0x7241F98CD0,800.396484375,1145575776
2025-10-15 19:49:50,Main,0x54,0x7241F98CD4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x58,0x7241F98CD8,800.390625,1145575680
2025-10-15 19:49:50,Main,0x5C,0x7241F98CDC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0x60,0x7241F98CE0,0.0,0
2025-10-15 19:49:50,Main,0x64,0x7241F98CE4,0.0,0
2025-10-15 19:49:50,Main,0x68,0x7241F98CE8,1.401298464324817E-45,1
2025-10-15 19:49:50,Main,0x6C,0x7241F98CEC,0.0,0
2025-10-15 19:49:50,Main,0x70,0x7241F98CF0,0.0,0
2025-10-15 19:49:50,Main,0x74,0x7241F98CF4,0.0,0
2025-10-15 19:49:50,Main,0x78,0x7241F98CF8,0.0,0
2025-10-15 19:49:50,Main,0x7C,0x7241F98CFC,0.0,0
2025-10-15 19:49:50,Main,0x80,0x7241F98D00,9.3063690087547E-10,813682624
2025-10-15 19:49:50,Main,0x84,0x7241F98D04,1.6114932339735396E-43,115
2025-10-15 19:49:50,Main,0x88,0x7241F98D08,0.0,0
2025-10-15 19:49:50,Main,0x8C,0x7241F98D0C,0.0,0
2025-10-15 19:49:50,Main,0x90,0x7241F98D10,0.0,0
2025-10-15 19:49:50,Main,0x94,0x7241F98D14,0.0,0
2025-10-15 19:49:50,Main,0x98,0x7241F98D18,0.0,0
2025-10-15 19:49:50,Main,0x9C,0x7241F98D1C,0.0,0
2025-10-15 19:49:50,Main,0xA0,0x7241F98D20,12183376.0,1262085968
2025-10-15 19:49:50,Main,0xA4,0x7241F98D24,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0xA8,0x7241F98D28,0.0,0
2025-10-15 19:49:50,Main,0xAC,0x7241F98D2C,0.0,0
2025-10-15 19:49:50,Main,0xB0,0x7241F98D30,0.0,0
2025-10-15 19:49:50,Main,0xB4,0x7241F98D34,0.0,0
2025-10-15 19:49:50,Main,0xB8,0x7241F98D38,12183232.0,1262085824
2025-10-15 19:49:50,Main,0xBC,0x7241F98D3C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0xC0,0x7241F98D40,0.0,0
2025-10-15 19:49:50,Main,0xC4,0x7241F98D44,0.0,0
2025-10-15 19:49:50,Main,0xC8,0x7241F98D48,800.455078125,1145576736
2025-10-15 19:49:50,Main,0xCC,0x7241F98D4C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0xD0,0x7241F98D50,992.837890625,1148728736
2025-10-15 19:49:50,Main,0xD4,0x7241F98D54,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0xD8,0x7241F98D58,0.0,0
2025-10-15 19:49:50,Main,0xDC,0x7241F98D5C,0.0,0
2025-10-15 19:49:50,Main,0xE0,0x7241F98D60,1.401298464324817E-45,1
2025-10-15 19:49:50,Main,0xE4,0x7241F98D64,0.0,0
2025-10-15 19:49:50,Main,0xE8,0x7241F98D68,0.0,0
2025-10-15 19:49:50,Main,0xEC,0x7241F98D6C,0.0,0
2025-10-15 19:49:50,Main,0xF0,0x7241F98D70,992.8349609375,1148728688
2025-10-15 19:49:50,Main,0xF4,0x7241F98D74,1.5974802493302915E-43,114
2025-10-15 19:49:50,Main,0xF8,0x7241F98D78,0.0,0
2025-10-15 19:49:50,Main,0xFC,0x7241F98D7C,0.0,0
2025-10-15 19:49:50,Main,0x100,0x7241F98D80,8.261977768597717E-9,839774352
2025-10-15 19:49:50,Motor,0x0,0x7241C56630,7.3666797106852755E-9,838671872
2025-10-15 19:49:50,Motor,0x4,0x7241C56634,1.6114932339735396E-43,115
2025-10-15 19:49:50,Motor,0x8,0x7241C56638,0.0,0
2025-10-15 19:49:50,Motor,0xC,0x7241C5663C,0.0,0
2025-10-15 19:49:50,Motor,0x10,0x7241C56640,2.7882544211009846E29,1885420480
2025-10-15 19:49:50,Motor,0x14,0x7241C56644,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0x18,0x7241C56648,-200.0,-1018691584
2025-10-15 19:49:50,Motor,0x1C,0x7241C5664C,1.401298464324817E-45,1
2025-10-15 19:49:50,Motor,0x20,0x7241C56650,4.0,1082130432
2025-10-15 19:49:50,Motor,0x24,0x7241C56654,110.0,1121714176
2025-10-15 19:49:50,Motor,0x28,0x7241C56658,220.0,1130102784
2025-10-15 19:49:50,Motor,0x2C,0x7241C5665C,179.0,1127415808
2025-10-15 19:49:50,Motor,0x30,0x7241C56660,0.27000001072883606,1049247089
2025-10-15 19:49:50,Motor,0x34,0x7241C56664,0.0,0
2025-10-15 19:49:50,Motor,0x38,0x7241C56668,304650125312.0,1385028896
2025-10-15 19:49:50,Motor,0x3C,0x7241C5666C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0x40,0x7241C56670,1.401298464324817E-45,1
2025-10-15 19:49:50,Motor,0x44,0x7241C56674,1.5,1069547520
2025-10-15 19:49:50,Motor,0x48,0x7241C56678,0.0,0
2025-10-15 19:49:50,Motor,0x4C,0x7241C5667C,20.0,1101004800
2025-10-15 19:49:50,Motor,0x50,0x7241C56680,20.0,1101004800
2025-10-15 19:49:50,Motor,0x54,0x7241C56684,0.15000000596046448,1041865114
2025-10-15 19:49:50,Motor,0x58,0x7241C56688,-90.0,-1028390912
2025-10-15 19:49:50,Motor,0x5C,0x7241C5668C,0.6000000238418579,1058642330
2025-10-15 19:49:50,Motor,0x60,0x7241C56690,0.0,0
2025-10-15 19:49:50,Motor,0x64,0x7241C56694,9.0,1091567616
2025-10-15 19:49:50,Motor,0x68,0x7241C56698,0.33000001311302185,1051260355
2025-10-15 19:49:50,Motor,0x6C,0x7241C5669C,0.6600000262260437,1059648963
2025-10-15 19:49:50,Motor,0x70,0x7241C566A0,0.7200000286102295,1060655596
2025-10-15 19:49:50,Motor,0x74,0x7241C566A4,8.0,1090519040
2025-10-15 19:49:50,Motor,0x78,0x7241C566A8,13.0,1095761920
2025-10-15 19:49:50,Motor,0x7C,0x7241C566AC,5.659999847412109,1085611704
2025-10-15 19:49:50,Motor,0x80,0x7241C566B0,75.0,1117126656
2025-10-15 19:49:50,Motor,0x84,0x7241C566B4,0.0,0
2025-10-15 19:49:50,Motor,0x88,0x7241C566B8,0.0,0
2025-10-15 19:49:50,Motor,0x8C,0x7241C566BC,0.0,0
2025-10-15 19:49:50,Motor,0x90,0x7241C566C0,9.549779633744038E-9,841224288
2025-10-15 19:49:50,Motor,0x94,0x7241C566C4,1.6114932339735396E-43,115
2025-10-15 19:49:50,Motor,0x98,0x7241C566C8,0.0,0
2025-10-15 19:49:50,Motor,0x9C,0x7241C566CC,0.0,0
2025-10-15 19:49:50,Motor,0xA0,0x7241C566D0,5.984557574096495E29,1894889184
2025-10-15 19:49:50,Motor,0xA4,0x7241C566D4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xA8,0x7241C566D8,47.74334716796875,1111423280
2025-10-15 19:49:50,Motor,0xAC,0x7241C566DC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xB0,0x7241C566E0,15.6124267578125,1098501248
2025-10-15 19:49:50,Motor,0xB4,0x7241C566E4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xB8,0x7241C566E8,297956016128.0,1384824608
2025-10-15 19:49:50,Motor,0xBC,0x7241C566EC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xC0,0x7241C566F0,-37477128710651904.0,-620419776
2025-10-15 19:49:50,Motor,0xC4,0x7241C566F4,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xC8,0x7241C566F8,12211712.0,1262114304
2025-10-15 19:49:50,Motor,0xCC,0x7241C566FC,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xD0,0x7241C56700,83409920.0,1285494656
2025-10-15 19:49:50,Motor,0xD4,0x7241C56704,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xD8,0x7241C56708,297954967552.0,1384824576
2025-10-15 19:49:50,Motor,0xDC,0x7241C5670C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xE0,0x7241C56710,297953918976.0,1384824544
2025-10-15 19:49:50,Motor,0xE4,0x7241C56714,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xE8,0x7241C56718,297938190336.0,1384824064
2025-10-15 19:49:50,Motor,0xEC,0x7241C5671C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xF0,0x7241C56720,297937141760.0,1384824032
2025-10-15 19:49:50,Motor,0xF4,0x7241C56724,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0xF8,0x7241C56728,297936093184.0,1384824000
2025-10-15 19:49:50,Motor,0xFC,0x7241C5672C,1.5974802493302915E-43,114
2025-10-15 19:49:50,Motor,0x100,0x7241C56730,297935044608.0,1384823968
2025-10-15 19:49:53,Main,0x0,0x7241F98C80,7.405283497519122E-9,838758800
2025-10-15 19:49:53,Main,0x4,0x7241F98C84,1.6114932339735396E-43,115
2025-10-15 19:49:53,Main,0x8,0x7241F98C88,0.0,0
2025-10-15 19:49:53,Main,0xC,0x7241F98C8C,0.0,0
2025-10-15 19:49:53,Main,0x10,0x7241F98C90,12366256.0,1262268848
2025-10-15 19:49:53,Main,0x14,0x7241F98C94,1.5974802493302915E-43,114
2025-10-15 19:49:53,Main,0x18,0x7241F98C98,150067216384.0,1376502480
2025-10-15 19:49:53,Main,0x1C,0x7241F98C9C,1.5974802493302915E-43,114
2025-10-15 19:49:53,Main,0x20,0x7241F98CA0,150062497792.0,1376502192
2025-10-15 19:49:53,Main,0x24,0x7241F98CA4,1.5974802493302915E-43,114
2025-10-15 19:49:53,Main,0x28,0x7241F98CA8,1005.2197265625,1148931600
2025-10-15 19:49:53,Main,0x2C,0x7241F98CAC,1.5974802493302915E-43,114
2025-10-15 19:49:53,Main,0x30,0x7241F98CB0,1005.216796875,1148931552
2025-10-15 19:49:53,Main,0x34,0x7241F98CB4,1.5974802493302915E-43,114
2025-10-15 19:49:53,Main,0x38,0x7241F98CB8,1005.2138671875,1148931504
2025-10-15 19:49:53,Main,0x3C,0x7241F98CBC,1.5974802493302915E-43,114
